Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
268.31,3.6,35.53,3.0,0.0,0.0,5.0,0.61,2.0,20.0,-0.17
354.4,4.17,53.99,5.0,0.0,0.0,9.0,0.38,2.0,26.0,0.0
347.21,4.36,35.53,3.0,0.0,0.0,5.0,0.6,2.0,21.0,-0.45
286.28,2.71,86.99,5.0,3.0,0.0,4.0,0.59,2.0,21.0,0.83
298.34,3.61,44.76,4.0,0.0,0.0,6.0,0.6,2.0,22.0,-0.19
188.19,2.45,56.03,3.0,0.0,0.0,1.0,0.51,2.0,14.0,-1.73
458.57,3.26,101.49,7.0,1.0,0.0,7.0,0.58,3.0,31.0,-1.99
129.16,2.23,12.89,1.0,0.0,0.0,0.0,0.53,2.0,10.0,-1.14
340.42,4.78,44.76,4.0,0.0,0.0,9.0,0.37,2.0,25.0,-0.29
340.42,4.78,44.76,4.0,0.0,0.0,9.0,0.37,2.0,25.0,-0.44
304.29,3.88,35.53,3.0,0.0,0.0,5.0,0.62,2.0,22.0,-0.58
298.34,3.61,44.76,4.0,0.0,0.0,6.0,0.6,2.0,22.0,-0.3
370.45,4.79,53.99,5.0,0.0,0.0,10.0,0.34,2.0,27.0,-0.11
298.25,3.4,103.35,5.0,0.0,0.0,5.0,0.36,2.0,22.0,-0.5
219.63,0.7,81.19,5.0,1.0,0.0,4.0,0.46,1.0,14.0,-1.28
180.16,1.2,77.76,3.0,3.0,0.0,2.0,0.47,1.0,13.0,1.12
390.44,5.4,53.99,5.0,0.0,1.0,8.0,0.38,3.0,29.0,-0.02
342.77,2.29,40.62,3.0,0.0,0.0,2.0,0.83,1.0,21.0,-2.23
356.44,3.81,44.76,4.0,0.0,0.0,7.0,0.43,2.0,26.0,0.34
341.41,3.67,48.0,5.0,0.0,0.0,7.0,0.57,2.0,25.0,-0.13
307.8,3.48,37.38,2.0,0.0,0.0,2.0,0.85,2.0,20.0,-1.87
226.25,3.72,17.07,1.0,0.0,0.0,3.0,0.58,2.0,17.0,-0.59
314.34,3.31,64.99,5.0,1.0,0.0,6.0,0.65,2.0,23.0,0.35
318.35,5.51,26.3,2.0,0.0,1.0,5.0,0.46,3.0,24.0,-0.58
313.31,3.51,78.67,5.0,0.0,0.0,6.0,0.35,2.0,23.0,-0.75
314.34,3.31,64.99,5.0,1.0,0.0,6.0,0.65,2.0,23.0,0.28
257.21,1.75,46.17,2.0,1.0,0.0,2.0,0.82,1.0,16.0,-2.34
323.35,3.48,68.55,5.0,0.0,0.0,6.0,0.6,2.0,24.0,-0.2
354.45,5.13,66.76,4.0,2.0,1.0,9.0,0.37,2.0,26.0,0.64
